,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
"gi|21263121|ref|NC_003138.2| Blueberry red ringspot virus, complete genome",0.0,831.0,508.0,0.0,0.0,0.0,0.0,0.0,253.0,875.0,759.0,834.0,886.0,857.0,855.0,906.0,902.0,883.0,811.0,777.0,0.0,1928.0,852.0,915.0,824.0,0.0,765.0,1188.0,1267.0,1598.0,1015.0,1224.0,262.0,609.0,870.0,793.0,1008.0,285.0,437.0,403.0,167.0,239.0,1407.0,1185.0,1358.0,1332.0,1489.0,253.0,820.0,1329.0,215.0,0.0,460.0,440.0,965.0,650.0,88.0,0.0,162.0,797.0,939.0,0.0,0.0,0.0,0.0,947.0,998.0,1026.0,250.0,668.0,0.0,1303.0,405.0,1470.0,322.0,1302.0,235.0,152.0,797.0,773.0,107.0,219.0,276.0,1140.0,602.0,187.0,1386.0,494.0,533.0,466.0,740.0,263.0,215.0,241.0,214.0,0.0,1475.0,1067.0,173.0,0.0,0.0,231.0,776.0,212.0,0.0,0.0,0.0,0.0,1198.0,970.0,1032.0,527.0,960.0,261.0,878.0,1527.0,0.0,268.0,998.0,612.0,892.0,810.0,847.0,798.0,1598.0,1220.0,780.0,528.0,0.0,1586.0,78.0,1119.0,1186.0,0.0,145.0,0.0,0.0,994.0
"gi|213496077|ref|NC_011592.1| Bougainvillea spectabilis chlorotic vein-banding virus, complete genome",0.0,563.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1308.0,1241.0,1323.0,1287.0,1305.0,1305.0,1354.0,1348.0,1353.0,1287.0,1016.0,0.0,852.0,1398.0,1112.0,816.0,0.0,1244.0,1121.0,1091.0,548.0,1389.0,1398.0,469.0,1078.0,1342.0,1057.0,1326.0,285.0,929.0,813.0,170.0,239.0,598.0,827.0,1101.0,548.0,1121.0,253.0,1052.0,1078.0,215.0,0.0,460.0,669.0,1016.0,1125.0,88.0,0.0,313.0,1037.0,1348.0,0.0,0.0,0.0,0.0,792.0,1121.0,1121.0,250.0,1139.0,0.0,1082.0,817.0,548.0,517.0,1082.0,235.0,152.0,988.0,1041.0,107.0,219.0,276.0,1121.0,1029.0,268.0,1121.0,999.0,963.0,945.0,1213.0,263.0,215.0,241.0,214.0,0.0,1121.0,1094.0,248.0,0.0,0.0,700.0,816.0,205.0,0.0,0.0,0.0,0.0,563.0,1121.0,1121.0,518.0,835.0,183.0,1326.0,1121.0,0.0,503.0,1360.0,1072.0,1310.0,1259.0,1092.0,1044.0,548.0,867.0,1272.0,740.0,0.0,598.0,158.0,1121.0,571.0,90.0,145.0,0.0,0.0,1367.0
"gi|9629644|ref|NC_001831.1| Bovine foamy virus, complete genome",0.0,582.0,508.0,63.0,123.0,211.0,201.0,91.0,462.0,1162.0,1030.0,1091.0,1136.0,1121.0,1152.0,1157.0,1146.0,1143.0,1105.0,1304.0,0.0,915.0,1112.0,1523.0,1032.0,0.0,1030.0,1523.0,1115.0,593.0,1194.0,1212.0,262.0,835.0,1134.0,1069.0,1105.0,285.0,696.0,628.0,96.0,239.0,607.0,818.0,1154.0,593.0,1212.0,253.0,1324.0,1111.0,215.0,148.0,460.0,669.0,1030.0,902.0,88.0,0.0,233.0,1048.0,1121.0,0.0,0.0,0.0,0.0,783.0,1170.0,1212.0,250.0,915.0,214.0,1103.0,631.0,593.0,285.0,1114.0,235.0,152.0,979.0,1056.0,107.0,219.0,276.0,1523.0,826.0,187.0,1212.0,776.0,723.0,944.0,1030.0,263.0,215.0,241.0,214.0,205.0,1212.0,853.0,251.0,0.0,254.0,706.0,556.0,121.0,0.0,0.0,0.0,0.0,582.0,1488.0,1198.0,285.0,1166.0,259.0,1079.0,1190.0,0.0,268.0,1189.0,909.0,1169.0,1106.0,1118.0,1079.0,593.0,904.0,1006.0,503.0,0.0,607.0,254.0,1523.0,285.0,0.0,145.0,0.0,134.0,1177.0
"gi|9626219|ref|NC_001413.1| Bovine immunodeficiency virus, complete genome",173.0,302.0,726.0,63.0,223.0,211.0,353.0,174.0,253.0,757.0,747.0,796.0,807.0,811.0,795.0,815.0,812.0,819.0,777.0,959.0,0.0,824.0,816.0,1032.0,1275.0,0.0,765.0,1049.0,817.0,543.0,824.0,824.0,262.0,609.0,814.0,1001.0,809.0,285.0,437.0,587.0,96.0,239.0,583.0,583.0,824.0,543.0,824.0,253.0,982.0,804.0,215.0,302.0,668.0,666.0,745.0,650.0,88.0,0.0,162.0,983.0,810.0,0.0,0.0,0.0,0.0,559.0,1050.0,1050.0,250.0,668.0,214.0,808.0,589.0,543.0,302.0,808.0,235.0,152.0,765.0,926.0,206.0,219.0,276.0,1049.0,602.0,187.0,824.0,493.0,509.0,678.0,718.0,473.0,215.0,241.0,214.0,205.0,824.0,543.0,251.0,0.0,225.0,679.0,543.0,121.0,0.0,0.0,0.0,0.0,302.0,1049.0,1050.0,302.0,1049.0,259.0,811.0,824.0,0.0,268.0,824.0,522.0,764.0,725.0,818.0,762.0,543.0,583.0,766.0,520.0,0.0,583.0,174.0,1049.0,302.0,0.0,145.0,0.0,258.0,824.0
"gi|9626225|ref|NC_001414.1| Bovine leukemia virus, complete genome",360.0,0.0,0.0,75.0,0.0,154.0,0.0,185.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,1472.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,963.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,0.0,544.0,0.0,478.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,279.0,1189.0,1255.0,1255.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,530.0,351.0,0.0,0.0,121.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,583.0,538.0,421.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,1207.0,1472.0,1255.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,93.0,557.0,467.0,0.0,0.0
"gi|9627246|ref|NC_001574.1| Cacao swollen shoot virus, complete genome",0.0,521.0,494.0,0.0,0.0,0.0,0.0,0.0,462.0,1223.0,1203.0,1223.0,1226.0,1238.0,1244.0,1242.0,1239.0,1244.0,1218.0,988.0,0.0,765.0,1244.0,1030.0,765.0,0.0,1244.0,1030.0,1030.0,491.0,1244.0,1244.0,463.0,1049.0,1241.0,1008.0,1236.0,256.0,910.0,813.0,170.0,239.0,530.0,777.0,1030.0,491.0,1030.0,253.0,1019.0,1017.0,215.0,0.0,460.0,669.0,986.0,1116.0,88.0,0.0,313.0,1016.0,1237.0,0.0,0.0,0.0,0.0,754.0,1030.0,1030.0,250.0,1124.0,0.0,1021.0,817.0,491.0,470.0,1021.0,235.0,152.0,950.0,990.0,107.0,219.0,256.0,1030.0,1029.0,268.0,1030.0,966.0,908.0,934.0,1190.0,256.0,215.0,241.0,214.0,0.0,1030.0,970.0,248.0,0.0,0.0,695.0,705.0,205.0,0.0,0.0,0.0,0.0,521.0,1030.0,1030.0,470.0,765.0,183.0,1241.0,1030.0,0.0,470.0,1244.0,988.0,1230.0,1191.0,1030.0,1013.0,491.0,795.0,1177.0,688.0,0.0,530.0,158.0,1030.0,470.0,90.0,145.0,0.0,0.0,1244.0
"gi|9626651|ref|NC_001463.1| Caprine arthritis-encephalitis virus, complete genome",0.0,812.0,508.0,63.0,123.0,211.0,201.0,91.0,462.0,1223.0,1030.0,1125.0,1187.0,1144.0,1184.0,1238.0,1247.0,1206.0,1110.0,1309.0,0.0,1188.0,1121.0,1523.0,1049.0,0.0,1030.0,1912.0,1303.0,867.0,1362.0,1491.0,262.0,835.0,1169.0,1069.0,1314.0,285.0,696.0,628.0,96.0,239.0,733.0,909.0,1351.0,726.0,1507.0,253.0,1324.0,1348.0,215.0,148.0,460.0,669.0,1030.0,902.0,88.0,0.0,233.0,1048.0,1230.0,0.0,0.0,0.0,0.0,932.0,1311.0,1395.0,250.0,915.0,214.0,1318.0,631.0,771.0,322.0,1336.0,235.0,152.0,1028.0,1056.0,107.0,219.0,276.0,1846.0,826.0,187.0,1474.0,776.0,764.0,944.0,1030.0,263.0,215.0,241.0,214.0,205.0,1500.0,1062.0,251.0,0.0,254.0,706.0,776.0,121.0,0.0,0.0,0.0,0.0,846.0,1589.0,1377.0,328.0,1249.0,259.0,1163.0,1437.0,0.0,268.0,1309.0,959.0,1239.0,1132.0,1140.0,1079.0,867.0,1232.0,1029.0,528.0,0.0,863.0,254.0,1823.0,516.0,0.0,145.0,0.0,134.0,1326.0
"gi|19919889|ref|NC_003498.1| Carnation etched ring virus, complete genome",0.0,1005.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1065.0,1030.0,1122.0,1152.0,1131.0,1110.0,1159.0,1163.0,1152.0,1092.0,1049.0,0.0,1267.0,1091.0,1115.0,817.0,0.0,1030.0,1303.0,1555.0,993.0,1232.0,1303.0,262.0,835.0,1145.0,1069.0,1284.0,285.0,696.0,628.0,167.0,239.0,927.0,1149.0,1544.0,931.0,1555.0,253.0,1075.0,1533.0,215.0,0.0,460.0,669.0,1223.0,902.0,88.0,0.0,233.0,1048.0,1217.0,0.0,0.0,0.0,0.0,1184.0,1213.0,1215.0,250.0,915.0,0.0,1529.0,631.0,957.0,322.0,1526.0,235.0,152.0,1028.0,1028.0,107.0,219.0,276.0,1298.0,826.0,187.0,1283.0,776.0,764.0,729.0,1028.0,263.0,215.0,241.0,214.0,0.0,1303.0,1280.0,173.0,0.0,0.0,481.0,741.0,212.0,0.0,0.0,0.0,0.0,1013.0,1176.0,1238.0,527.0,910.0,261.0,1160.0,1548.0,0.0,268.0,1210.0,830.0,1072.0,1033.0,1134.0,1070.0,993.0,1035.0,1029.0,528.0,0.0,999.0,158.0,1277.0,725.0,0.0,145.0,0.0,0.0,1229.0
"gi|9627994|ref|NC_001648.1| Cassava vein mosaic virus, complete genome",0.0,1233.0,249.0,0.0,0.0,0.0,0.0,0.0,253.0,545.0,525.0,581.0,622.0,589.0,581.0,634.0,633.0,607.0,563.0,545.0,0.0,1598.0,548.0,593.0,543.0,0.0,491.0,867.0,993.0,2507.0,692.0,928.0,262.0,424.0,599.0,541.0,742.0,285.0,233.0,202.0,167.0,427.0,1489.0,899.0,1074.0,1332.0,1159.0,253.0,536.0,1123.0,0.0,0.0,245.0,215.0,728.0,442.0,88.0,0.0,162.0,523.0,672.0,0.0,0.0,0.0,0.0,690.0,668.0,696.0,445.0,456.0,0.0,1038.0,204.0,1558.0,322.0,1037.0,0.0,0.0,541.0,471.0,0.0,0.0,473.0,811.0,398.0,187.0,1056.0,242.0,326.0,466.0,504.0,263.0,0.0,241.0,0.0,0.0,1145.0,1067.0,98.0,0.0,0.0,231.0,776.0,212.0,0.0,0.0,0.0,0.0,1625.0,640.0,702.0,527.0,673.0,261.0,601.0,1322.0,0.0,268.0,668.0,302.0,566.0,487.0,572.0,541.0,2053.0,923.0,557.0,528.0,0.0,1653.0,0.0,803.0,1203.0,0.0,0.0,0.0,0.0,705.0
"gi|9626938|ref|NC_001497.1| Cauliflower mosaic virus, complete genome",0.0,754.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1421.0,1243.0,1378.0,1393.0,1364.0,1401.0,1490.0,1504.0,1466.0,1338.0,1079.0,0.0,1015.0,1389.0,1194.0,824.0,0.0,1244.0,1362.0,1232.0,692.0,1635.0,1588.0,469.0,1078.0,1423.0,1069.0,1474.0,285.0,929.0,813.0,170.0,239.0,724.0,909.0,1253.0,692.0,1344.0,253.0,1108.0,1234.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1048.0,1494.0,0.0,0.0,0.0,0.0,900.0,1274.0,1328.0,250.0,1139.0,0.0,1220.0,817.0,692.0,545.0,1231.0,235.0,152.0,1028.0,1056.0,107.0,219.0,276.0,1354.0,1029.0,268.0,1346.0,1012.0,995.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1331.0,1238.0,248.0,0.0,0.0,700.0,941.0,205.0,0.0,0.0,0.0,0.0,754.0,1260.0,1324.0,552.0,945.0,183.0,1417.0,1289.0,0.0,503.0,1524.0,1197.0,1448.0,1361.0,1140.0,1079.0,692.0,1076.0,1286.0,756.0,0.0,725.0,158.0,1367.0,670.0,90.0,145.0,0.0,0.0,1571.0
"gi|32453808|ref|NC_004324.3| Cestrum yellow leaf curling virus, complete genome",0.0,770.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1421.0,1243.0,1378.0,1393.0,1364.0,1388.0,1476.0,1469.0,1448.0,1338.0,1079.0,0.0,1224.0,1398.0,1212.0,824.0,0.0,1244.0,1491.0,1303.0,928.0,1588.0,1838.0,469.0,1078.0,1423.0,1069.0,1556.0,285.0,929.0,813.0,170.0,239.0,726.0,909.0,1351.0,726.0,1452.0,253.0,1109.0,1415.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1048.0,1494.0,0.0,0.0,0.0,0.0,932.0,1276.0,1326.0,250.0,1139.0,0.0,1318.0,817.0,771.0,545.0,1336.0,235.0,152.0,1028.0,1056.0,107.0,219.0,276.0,1441.0,1029.0,268.0,1404.0,1012.0,995.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1461.0,1342.0,248.0,0.0,0.0,700.0,1044.0,205.0,0.0,0.0,0.0,0.0,804.0,1266.0,1332.0,552.0,960.0,183.0,1417.0,1504.0,0.0,503.0,1526.0,1162.0,1437.0,1344.0,1140.0,1079.0,928.0,1188.0,1286.0,756.0,0.0,908.0,158.0,1422.0,806.0,90.0,145.0,0.0,0.0,1560.0
"gi|568519778|ref|NC_023153.1| Citrus endogenous pararetrovirus clone CB16-3, complete genome",155.0,262.0,236.0,0.0,0.0,0.0,0.0,0.0,253.0,442.0,469.0,469.0,468.0,469.0,469.0,469.0,469.0,469.0,469.0,261.0,91.0,262.0,469.0,262.0,262.0,209.0,463.0,262.0,262.0,262.0,469.0,469.0,1117.0,438.0,469.0,262.0,469.0,498.0,207.0,185.0,170.0,239.0,262.0,262.0,262.0,262.0,262.0,463.0,245.0,262.0,229.0,0.0,245.0,0.0,262.0,416.0,174.0,83.0,170.0,258.0,469.0,92.0,445.0,445.0,445.0,262.0,262.0,262.0,250.0,423.0,0.0,262.0,186.0,262.0,469.0,262.0,223.0,142.0,262.0,216.0,100.0,0.0,262.0,262.0,389.0,187.0,262.0,417.0,469.0,429.0,448.0,479.0,0.0,459.0,223.0,0.0,262.0,469.0,173.0,95.0,0.0,207.0,469.0,205.0,445.0,209.0,445.0,445.0,262.0,262.0,262.0,469.0,262.0,106.0,469.0,262.0,172.0,705.0,469.0,207.0,449.0,410.0,262.0,262.0,262.0,262.0,469.0,469.0,78.0,262.0,0.0,262.0,469.0,181.0,0.0,445.0,0.0,469.0
"gi|18450268|ref|NC_003382.1| Citrus yellow mosaic virus, complete genome",0.0,457.0,378.0,0.0,0.0,0.0,0.0,0.0,440.0,1078.0,1048.0,1078.0,1041.0,1055.0,1063.0,1078.0,1078.0,1078.0,1063.0,835.0,0.0,609.0,1078.0,835.0,609.0,0.0,1049.0,835.0,835.0,424.0,1078.0,1078.0,438.0,1078.0,1078.0,835.0,1078.0,231.0,837.0,788.0,170.0,231.0,416.0,642.0,835.0,424.0,835.0,231.0,835.0,835.0,185.0,0.0,416.0,604.0,835.0,1036.0,88.0,0.0,313.0,835.0,1078.0,0.0,0.0,0.0,0.0,642.0,835.0,835.0,231.0,1044.0,0.0,835.0,790.0,424.0,454.0,835.0,185.0,152.0,835.0,820.0,107.0,185.0,231.0,835.0,991.0,268.0,835.0,840.0,873.0,857.0,1048.0,231.0,185.0,231.0,185.0,0.0,835.0,893.0,248.0,0.0,0.0,638.0,667.0,205.0,0.0,0.0,0.0,0.0,457.0,835.0,835.0,455.0,609.0,183.0,1078.0,835.0,0.0,466.0,1074.0,847.0,1076.0,1036.0,835.0,835.0,424.0,642.0,1078.0,652.0,0.0,416.0,158.0,835.0,474.0,90.0,145.0,0.0,0.0,1078.0
"gi|9625564|ref|NC_001343.1| Commelina yellow mottle virus, complete genome",0.0,617.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1332.0,1243.0,1377.0,1368.0,1364.0,1359.0,1423.0,1421.0,1423.0,1338.0,1073.0,0.0,870.0,1342.0,1134.0,814.0,0.0,1241.0,1169.0,1145.0,599.0,1423.0,1423.0,469.0,1078.0,1423.0,1069.0,1383.0,285.0,929.0,813.0,170.0,239.0,589.0,836.0,1147.0,599.0,1169.0,253.0,1086.0,1146.0,215.0,0.0,460.0,669.0,1030.0,1125.0,88.0,0.0,313.0,1045.0,1408.0,0.0,0.0,0.0,0.0,816.0,1152.0,1169.0,250.0,1139.0,0.0,1135.0,817.0,599.0,541.0,1141.0,235.0,152.0,1012.0,1025.0,107.0,219.0,276.0,1169.0,1029.0,268.0,1169.0,1012.0,987.0,945.0,1243.0,263.0,215.0,241.0,214.0,0.0,1169.0,1140.0,248.0,0.0,0.0,700.0,843.0,205.0,0.0,0.0,0.0,0.0,617.0,1169.0,1169.0,542.0,870.0,183.0,1360.0,1151.0,0.0,503.0,1403.0,1096.0,1334.0,1283.0,1136.0,1079.0,599.0,888.0,1283.0,756.0,0.0,589.0,158.0,1169.0,572.0,90.0,145.0,0.0,0.0,1423.0
"gi|194871987|ref|NC_011097.1| Cycad leaf necrosis virus, complete genome",173.0,558.0,737.0,0.0,100.0,0.0,152.0,83.0,462.0,1022.0,1030.0,1069.0,1069.0,1069.0,1067.0,1069.0,1069.0,1069.0,1065.0,1028.0,0.0,793.0,1057.0,1069.0,1001.0,0.0,1008.0,1069.0,1069.0,541.0,1069.0,1069.0,262.0,835.0,1069.0,1305.0,1067.0,282.0,696.0,812.0,96.0,239.0,534.0,781.0,1069.0,541.0,1069.0,253.0,1032.0,1069.0,215.0,154.0,668.0,896.0,1021.0,902.0,88.0,0.0,233.0,1230.0,1069.0,0.0,0.0,0.0,0.0,775.0,1305.0,1305.0,250.0,915.0,0.0,1064.0,815.0,541.0,282.0,1069.0,235.0,152.0,972.0,1187.0,206.0,219.0,276.0,1069.0,826.0,187.0,1069.0,770.0,720.0,729.0,1012.0,473.0,215.0,241.0,214.0,0.0,1069.0,817.0,173.0,0.0,0.0,704.0,541.0,121.0,0.0,0.0,0.0,0.0,558.0,1069.0,1305.0,282.0,793.0,183.0,1042.0,1069.0,0.0,268.0,1069.0,787.0,1029.0,990.0,1069.0,1051.0,541.0,810.0,1003.0,500.0,0.0,534.0,158.0,1069.0,282.0,0.0,145.0,0.0,124.0,1069.0
"gi|406356615|ref|NC_018616.1| Dahlia mosaic virus clone pDaMV-p2, complete genome",0.0,771.0,508.0,0.0,0.0,0.0,0.0,0.0,462.0,1307.0,1243.0,1363.0,1360.0,1338.0,1337.0,1403.0,1410.0,1394.0,1320.0,1052.0,0.0,1008.0,1326.0,1105.0,809.0,0.0,1236.0,1314.0,1284.0,742.0,1474.0,1556.0,469.0,1078.0,1383.0,1067.0,1557.0,285.0,929.0,813.0,170.0,239.0,667.0,889.0,1273.0,668.0,1314.0,253.0,1057.0,1306.0,215.0,0.0,460.0,669.0,1019.0,1125.0,88.0,0.0,313.0,1032.0,1451.0,0.0,0.0,0.0,0.0,932.0,1194.0,1214.0,250.0,1139.0,0.0,1278.0,817.0,694.0,545.0,1284.0,235.0,152.0,1028.0,1020.0,107.0,219.0,276.0,1297.0,1029.0,268.0,1282.0,1012.0,995.0,945.0,1237.0,263.0,215.0,241.0,214.0,0.0,1314.0,1272.0,248.0,0.0,0.0,700.0,985.0,205.0,0.0,0.0,0.0,0.0,791.0,1170.0,1237.0,552.0,891.0,183.0,1395.0,1289.0,0.0,503.0,1436.0,1072.0,1312.0,1261.0,1123.0,1059.0,742.0,1057.0,1272.0,756.0,0.0,751.0,158.0,1276.0,728.0,90.0,145.0,0.0,0.0,1471.0
"gi|823104939|ref|NC_027117.1| Desmodus rotundus endogenous retrovirus isolate 824, complete genome",515.0,285.0,247.0,75.0,0.0,154.0,0.0,185.0,788.0,235.0,272.0,285.0,285.0,285.0,280.0,285.0,285.0,285.0,285.0,261.0,174.0,285.0,285.0,285.0,285.0,963.0,256.0,285.0,285.0,285.0,285.0,285.0,498.0,231.0,285.0,282.0,285.0,1625.0,0.0,0.0,96.0,239.0,285.0,285.0,285.0,285.0,285.0,994.0,245.0,285.0,773.0,0.0,723.0,0.0,267.0,209.0,88.0,98.0,90.0,258.0,285.0,186.0,1312.0,1063.0,1063.0,285.0,285.0,285.0,250.0,216.0,527.0,285.0,0.0,285.0,285.0,285.0,753.0,493.0,285.0,216.0,221.0,514.0,276.0,285.0,186.0,106.0,285.0,210.0,285.0,222.0,241.0,480.0,520.0,1042.0,761.0,421.0,285.0,285.0,98.0,206.0,0.0,0.0,285.0,121.0,1005.0,1051.0,1063.0,1031.0,285.0,285.0,285.0,285.0,285.0,106.0,285.0,285.0,588.0,1130.0,285.0,0.0,242.0,203.0,285.0,264.0,285.0,285.0,285.0,285.0,167.0,285.0,0.0,285.0,285.0,93.0,417.0,483.0,0.0,285.0
"gi|125860391|ref|NC_009010.1| Dioscorea bacilliform virus, complete genome",0.0,259.0,621.0,0.0,0.0,0.0,0.0,0.0,209.0,929.0,909.0,929.0,902.0,916.0,924.0,929.0,929.0,929.0,924.0,696.0,0.0,437.0,929.0,696.0,437.0,0.0,910.0,696.0,696.0,233.0,929.0,929.0,207.0,837.0,929.0,696.0,929.0,0.0,1113.0,813.0,74.0,0.0,204.0,451.0,696.0,233.0,696.0,0.0,696.0,696.0,204.0,0.0,204.0,648.0,695.0,912.0,0.0,0.0,223.0,688.0,929.0,0.0,0.0,0.0,0.0,445.0,696.0,696.0,0.0,908.0,0.0,696.0,817.0,233.0,407.0,696.0,204.0,152.0,642.0,696.0,107.0,204.0,0.0,696.0,843.0,162.0,696.0,929.0,666.0,708.0,909.0,0.0,204.0,0.0,204.0,0.0,696.0,725.0,150.0,0.0,0.0,700.0,466.0,84.0,0.0,0.0,0.0,0.0,259.0,696.0,696.0,408.0,621.0,77.0,928.0,696.0,0.0,233.0,929.0,929.0,929.0,925.0,696.0,696.0,233.0,463.0,919.0,446.0,0.0,204.0,158.0,696.0,417.0,90.0,145.0,0.0,0.0,929.0
"gi|96980848|ref|NC_008034.1| Dracaena mottle virus, complete genome",173.0,225.0,587.0,0.0,100.0,0.0,152.0,83.0,209.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,813.0,628.0,0.0,403.0,813.0,628.0,587.0,0.0,813.0,628.0,628.0,202.0,813.0,813.0,185.0,788.0,813.0,812.0,813.0,0.0,813.0,997.0,74.0,0.0,201.0,426.0,628.0,202.0,628.0,0.0,628.0,628.0,201.0,154.0,385.0,812.0,628.0,813.0,0.0,0.0,223.0,812.0,813.0,0.0,0.0,0.0,0.0,426.0,812.0,812.0,0.0,813.0,0.0,628.0,997.0,202.0,185.0,628.0,201.0,152.0,628.0,812.0,206.0,201.0,0.0,628.0,812.0,162.0,628.0,813.0,611.0,612.0,813.0,184.0,201.0,0.0,201.0,0.0,628.0,612.0,150.0,0.0,0.0,796.0,387.0,84.0,0.0,0.0,0.0,0.0,225.0,628.0,812.0,185.0,403.0,77.0,813.0,628.0,0.0,185.0,813.0,813.0,813.0,813.0,628.0,628.0,202.0,426.0,813.0,387.0,0.0,201.0,158.0,628.0,185.0,90.0,145.0,0.0,124.0,813.0
"gi|9625568|ref|NC_001344.1| Duck hepatitis B virus, complete genome",0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,96.0,0.0,167.0,170.0,96.0,96.0,70.0,170.0,96.0,167.0,167.0,170.0,170.0,170.0,170.0,170.0,96.0,170.0,96.0,74.0,74.0,386.0,171.0,167.0,167.0,167.0,167.0,167.0,96.0,96.0,167.0,0.0,0.0,96.0,0.0,167.0,170.0,163.0,145.0,239.0,96.0,170.0,70.0,0.0,70.0,70.0,167.0,96.0,96.0,171.0,170.0,0.0,167.0,74.0,167.0,245.0,167.0,0.0,0.0,171.0,96.0,0.0,0.0,171.0,96.0,170.0,245.0,96.0,74.0,170.0,170.0,170.0,96.0,0.0,96.0,0.0,0.0,96.0,241.0,245.0,70.0,0.0,74.0,170.0,316.0,70.0,70.0,70.0,70.0,167.0,96.0,96.0,241.0,96.0,242.0,170.0,167.0,0.0,170.0,170.0,74.0,170.0,170.0,96.0,96.0,167.0,96.0,170.0,170.0,75.0,167.0,0.0,96.0,241.0,149.0,70.0,75.0,0.0,170.0
"gi|33354433|ref|NC_004994.2| Enzootic nasal tumour virus of goats, complete genome",0.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,235.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,0.0,239.0,239.0,239.0,239.0,0.0,239.0,239.0,239.0,427.0,239.0,239.0,239.0,231.0,239.0,239.0,239.0,239.0,0.0,0.0,171.0,1102.0,427.0,239.0,239.0,453.0,239.0,239.0,239.0,239.0,0.0,0.0,239.0,0.0,239.0,209.0,276.0,83.0,165.0,239.0,239.0,0.0,0.0,0.0,0.0,453.0,239.0,239.0,1092.0,216.0,0.0,239.0,0.0,435.0,640.0,239.0,0.0,0.0,462.0,216.0,0.0,0.0,1094.0,239.0,186.0,274.0,239.0,0.0,239.0,222.0,239.0,239.0,0.0,239.0,0.0,0.0,239.0,239.0,186.0,0.0,0.0,0.0,239.0,299.0,0.0,0.0,0.0,0.0,427.0,239.0,239.0,435.0,239.0,182.0,239.0,239.0,0.0,239.0,239.0,0.0,239.0,203.0,239.0,239.0,239.0,239.0,239.0,453.0,89.0,239.0,0.0,239.0,239.0,109.0,0.0,249.0,0.0,239.0
"gi|9634977|ref|NC_002201.1| Equine foamy virus, complete genome",0.0,1091.0,259.0,0.0,0.0,0.0,0.0,0.0,253.0,567.0,506.0,572.0,596.0,576.0,554.0,603.0,607.0,598.0,536.0,493.0,0.0,1407.0,598.0,607.0,583.0,0.0,530.0,733.0,927.0,1489.0,724.0,726.0,262.0,416.0,589.0,534.0,667.0,285.0,204.0,201.0,167.0,427.0,1821.0,1185.0,969.0,1007.0,1070.0,253.0,529.0,905.0,215.0,0.0,460.0,225.0,697.0,417.0,88.0,0.0,90.0,532.0,661.0,0.0,0.0,0.0,0.0,914.0,720.0,717.0,445.0,428.0,0.0,922.0,201.0,1085.0,322.0,909.0,235.0,152.0,590.0,518.0,107.0,219.0,473.0,733.0,390.0,106.0,1015.0,252.0,533.0,222.0,477.0,263.0,215.0,241.0,214.0,0.0,1047.0,693.0,173.0,0.0,0.0,0.0,401.0,212.0,0.0,0.0,0.0,0.0,1466.0,678.0,733.0,527.0,655.0,184.0,646.0,1047.0,0.0,268.0,712.0,310.0,568.0,526.0,582.0,521.0,1142.0,1098.0,531.0,310.0,0.0,1474.0,78.0,733.0,1078.0,0.0,145.0,0.0,0.0,688.0
